case,criterion,amplitude_multiplier,injected_global_std_R,hits,replicates,power,power_wilson_low,power_wilson_high
Kn0p10,uniform,1.25,0.0007134817320968,0,100,0.0,3.469446951953614e-18,0.0369934982069856
Kn0p10,uniform,1.5,0.0008561780785161,0,100,0.0,3.469446951953614e-18,0.0369934982069856
Kn0p10,uniform,2.0,0.0011415707713548,0,100,0.0,3.469446951953614e-18,0.0369934982069856
Kn0p10,uniform,3.0,0.0017123561570323,11,100,0.11,0.0625419635706456,0.1863129650308031
Kn0p10,uniform,4.0,0.0022831415427097,41,100,0.41,0.3186731302113651,0.5079856994658921
Kn0p10,uniform,6.0,0.0034247123140646,87,100,0.87,0.7901964855992357,0.9224283257275948
Kn0p15,reference,0.0,0.0,0,100,0.0,3.469446951953614e-18,0.0369934982069856
Kn0p15,reference,0.25,0.0001426963464193,0,100,0.0,3.469446951953614e-18,0.0369934982069856
Kn0p15,reference,0.5,0.0002853926928387,0,100,0.0,3.469446951953614e-18,0.0369934982069856
Kn0p15,reference,0.75,0.000428089039258,0,100,0.0,3.469446951953614e-18,0.0369934982069856
Kn0p15,reference,1.0,0.0005707853856774,0,100,0.0,3.469446951953614e-18,0.0369934982069856
Kn0p15,reference,1.25,0.0007134817320968,0,100,0.0,3.469446951953614e-18,0.0369934982069856
Kn0p15,reference,1.5,0.0008561780785161,0,100,0.0,3.469446951953614e-18,0.0369934982069856
Kn0p15,reference,2.0,0.0011415707713548,0,100,0.0,3.469446951953614e-18,0.0369934982069856
Kn0p15,reference,3.0,0.0017123561570323,0,100,0.0,3.469446951953614e-18,0.0369934982069856
Kn0p15,reference,4.0,0.0022831415427097,0,100,0.0,3.469446951953614e-18,0.0369934982069856
Kn0p15,reference,6.0,0.0034247123140646,12,100,0.12,0.0699940643701948,0.1981209942671142
Kn0p15,uniform,0.0,0.0,0,100,0.0,3.469446951953614e-18,0.0369934982069856
Kn0p15,uniform,0.25,0.0001426963464193,0,100,0.0,3.469446951953614e-18,0.0369934982069856
Kn0p15,uniform,0.5,0.0002853926928387,0,100,0.0,3.469446951953614e-18,0.0369934982069856
Kn0p15,uniform,0.75,0.000428089039258,0,100,0.0,3.469446951953614e-18,0.0369934982069856
Kn0p15,uniform,1.0,0.0005707853856774,0,100,0.0,3.469446951953614e-18,0.0369934982069856
Kn0p15,uniform,1.25,0.0007134817320968,0,100,0.0,3.469446951953614e-18,0.0369934982069856
Kn0p15,uniform,1.5,0.0008561780785161,0,100,0.0,3.469446951953614e-18,0.0369934982069856
Kn0p15,uniform,2.0,0.0011415707713548,0,100,0.0,3.469446951953614e-18,0.0369934982069856
Kn0p15,uniform,3.0,0.0017123561570323,0,100,0.0,3.469446951953614e-18,0.0369934982069856
Kn0p15,uniform,4.0,0.0022831415427097,0,100,0.0,3.469446951953614e-18,0.0369934982069856
Kn0p15,uniform,6.0,0.0034247123140646,12,100,0.12,0.0699940643701948,0.1981209942671142
